Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
Ceará SC ,Ceará Sporting Club,Estádio Presidente Vargas,-3.745833,-38.536667
Orlando City SC,Orlando City SC,Exploria Stadium,28.5410645,-81.389035
Qatar SC,Qatar SC,Qatar SC Stadium,25.317155,51.512366
SC Longfor ,Sichuan FC,Chengdu Longquanyi Football Stadium,30.615778,104.307826
Zamalek SC,Zamalek SC,Cairo International Stadium,30.069111,31.312333
Ceará Sporting Club,Ceará Sporting Club,Estádio Presidente Vargas,-3.745833,-38.536667
Celta Vigo,Celta Vigo,Abanca Balaídos Stadium,42.211861,-8.740328
Celtic F.C.,Celtic F.C.,Celtic Park,55.84971111,-4.205588888
Central Coast Mariners FC,Central Coast Mariners FC,Central Coast Stadium,-33.428333,151.338056
Central Córdoba de Rosario,Central Córdoba de Rosario,Estadio Gabino Sosa,-32.97070833,-60.63627778
Cercle Brugge ,Club Brugge K.V.,Jan Breydel Stadium,51.193269,3.181311
Club Brugge ,Club Brugge K.V.,Jan Breydel Stadium,51.193269,3.181311
Cerezo Osaka,Cerezo Osaka,Kincho Stadium,34.615339,135.516572
Cerro Largo FC,Cerro Largo FC,Estadio Arquitecto Antonio Eleuterio Ubilla,-32.359708,-54.169328
Changchun Yatai F.C.,Changchun Yatai F.C.,Development Area Stadium,43.836881,125.390597
Charlton Athletic F.C.,Charlton Athletic F.C.,The Valley,51.48638889,0.036388888
Chelsea F.C.,Chelsea F.C.,Stamford Bridge stadium,51.48166667,-0.191111111
Chengdu Blades F.C.,Chengdu Blades F.C.,Chengdu Sports Centre,30.66555556,104.0647222
Esteghlal Ahvaz F.C.,Esteghlal Ahvaz F.C.,Takhti Stadium,31.314397,48.665008
Hellas Verona F.C.,Hellas Verona F.C.,Stadio Marc'Antonio Bentegodi,45.435356,10.968647
Chiangrai Utd. ,Chiangrai United F.C.,United Stadium of Chiangrai,19.956944,99.874722
Chiapas F.C.,Chiapas F.C.,Estadio Víctor Manuel Reyna,16.762783,-93.096369
Chicago Fire FC,Chicago Fire FC,Soldier Field,41.8625,-87.61666667
Chievo Verona ,A.C. ChievoVerona,Stadio Marc'Antonio Bentegodi,45.435356,10.968647
Chivas ,C.D. Chivas USA,Dignity Health Sports Park,33.86444444,-118.2611111
FC Chiasso,FC Chiasso,Stadio comunale Riva IV,45.834089,9.016686
Chongqing F.C.,Chongqing F.C.,Chongqing Olympic Sports Center,29.528723,106.502109
Cittadella ,Associazione Sportiva Cittadella,Stadio Pier Cesare Tombolato,45.642778,11.781111
